LANGUAGE,"English","Russian"
STR_GUI_LIST_Weapons,"Unlock","Разблокировать"
STR_GUI_LIST_Units,"Recruit units","Нанять солдат"
STR_GUI_LIST_Vehicles,"Buy vehicles","Купить технику"
STR_GUI_LIST_Menu,"Main menu","Главное меню"
STR_GUI_LIST_Squad,"Join squad","Вступить в отряд"
STR_GUI_LIST_Kick,"Kick unit","Исключить"
STR_GUI_LIST_Leave,"Leave squad","Покинуть отряд"
STR_GUI_LIST_Apply,"Apply","Принять"
STR_GUI_LIST_Cancel,"Cancel","Отмена"
STR_GUI_VIEW_Title,"Video settings","Настройки видео"
STR_GUI_VIEW_Grid,"Terrain grid","Высота травы"
STR_GUI_VIEW_Distance,"View distance","Дальность видимости"
STR_GUI_VIEW_Markers,"Markers","Маркеры"
STR_GUI_VIEW_Close,"Close","Закрыть"
STR_GUI_MENU_Weapons,"Weapon store","Вооружение"
STR_GUI_MENU_Units,"Recruiting","Подчиненные"
STR_GUI_MENU_Vehicles,"Vehicles","Техника"
STR_GUI_MENU_Resources,"Resources","Ресурсы"
STR_GUI_MENU_Players,"Players","Игроки"
STR_GUI_MENU_Squad,"Squad","Отряд"
STR_GUI_MENU_Video,"Video options","Настройки видео"
STR_GUI_MENU_Score,"Score: %1","Очки: %1"
STR_GUI_MENU_PlayersNumber,"Players: %1","Игроков: %1"
STR_GUI_MENU_SquadNumber,"Alive: %1","В живых: %1"
STR_GUI_RES_Title,"Resources management","Управление ресурсами"
STR_GUI_RES_Unit,"Unit:","Игрок:"
STR_GUI_RES_Ammount,"Ammount:","Количество:"
STR_GUI_RES_Transfer,"Transfer","Передать"
STR_GUI_RES_Points,"%1 Points","%1 Очков"
STR_GUI_MARK_Title,"Markers","Маркеры"
STR_GUI_MARK_Distance,"Distance:","Дистанция:"
STR_GUI_MARK_Type,"Type:","Тип:"
STR_GUI_MARK_Video,"Back","Назад"
STR_GUI_MARK_No,"None","Нет"
STR_GUI_MARK_Type1,"Infantry","Пехота"
STR_GUI_MARK_Type2,"Vehicles","Техника"
STR_GUI_MARK_Type3,"Infantry+vehicles","Пехота+Техника"
STR_GUI_MARK_Type4,"Group","Группа"
STR_GUI_EASA_Title,"Weaponary selection","Выбор боевой загрузки"
STR_NAME_VEH_TT650_Civ,"%1$ Motorcycle","%1$ Мото"
STR_NAME_VEH_tractorOld,"%1$ Tractor Old","%1$ Старый трактор"
STR_NAME_VEH_VWGolf,"%1$ Hatchback","%1$ Гольф"
STR_NAME_VEH_Lada1_TK_CIV_EP1,"%1$ Lada CIV","%1$ Лада"
STR_NAME_VEH_VolhaLimo_TK_CIV_EP1,"%1$ Volha","%1$ Волга"
STR_NAME_VEH_SkodaGreen,"%1$ Skoda Green","%1$ Шкода зел."
STR_NAME_VEH_Pickup_PK_TK_GUE_EP1,"%1$ Pickup","%1$ Пикап ПК"
STR_NAME_VEH_SUV_TK_CIV_EP1,"%1$ SUV CIV","%1$ Джип большой"
STR_NAME_VEH_ArmoredSUV_PMC,"%1$ SUV PMC","%1$ Джип большой PMC"
STR_NAME_VEH_hilux1_civil_1_open,"%1$ Offroad open","%1$ Джип открытый"
STR_NAME_VEH_hilux1_civil_2_covered,"%1$ Offroad covered","%1$ Джип тент"
STR_NAME_VEH_hilux1_civil_3_open_EP1,"%1$ Offroad open 2","%1$ Джип открытый2"
STR_NAME_VEH_datsun1_civil_2_covered,"%1$ datsun covered 2","%1$ Датсун каблук"
STR_NAME_VEH_datsun1_civil_3_open,"%1$ datsun open","%1$ Датсун открытый"
STR_NAME_VEH_car_sedan,"%1$ car sedan","%1$ Авто седан"
STR_NAME_VEH_car_hatchback,"%1$ car hatchback","%1$ Авто хэтчбек"
STR_NAME_VEH_LadaLM,"%1$ LadaL M","%1$ Лада милиция"
STR_NAME_VEH_HMMWV,"%1$ HMMWV","%1$ Хаммер"
STR_NAME_VEH_BAF_Offroad_W,"%1$ BAF Offroad","%1$ BAF Offroad"
STR_NAME_VEH_LandRover_TK_CIV_EP1,"%1$ LandRover","%1$ ЛэндРовер"
STR_NAME_VEH_UAZ_RU,"%1$ UAZ","%1$ УАЗ"
STR_NAME_VEH_Kamaz,"%1$ Kamaz","%1$ Камаз"
STR_NAME_VEH_Ikarus,"%1$ Ikarus","%1$ Икарус"
STR_NAME_VEH_KamazOpen,"%1$ Kamaz Open","%1$ Камаз-открытый"
STR_NAME_VEH_Ural_INS,"%1$ Ural","%1$ Урал"
STR_NAME_VEH_UralOpen_INS,"%1$ Ural Open","%1$ Урал-Открытый"
STR_NAME_VEH_UralCivil2,"%1$ Ural Civil","%1$ Урал Гражданский"
STR_NAME_VEH_V3S_TK_EP1,"%1$ Praga V3S","%1$ Грузовик V3S"
STR_NAME_VEH_V3S_Open_TK_EP1,"%1$ Praga V3S Open","%1$ Грузовик V3S откр"
STR_NAME_VEH_An2_1_TK_CIV_EP1,"%1$ An2","%1$ Ан-2"
STR_NAME_VEH_Offroad_DSHKM_TK_GUE_EP1,"%1$ Offroad_DSHKM","%1$ Внедорожник(ДШКм)"
STR_NAME_VEH_Offroad_SPG9_TK_GUE_EP1,"%1$ Offroad SPG9","%1$ Внедорожник(СПГ-9)"
STR_NAME_VEH_LandRover_MG_TK_EP1,"%1$ LandRover MG","%1$ ЛэндРовер MG"
STR_NAME_VEH_LandRover_Special_CZ_EP1,"%1$ LandRover Special","%1$ ЛэндРовер MG+AGS"
STR_NAME_VEH_LandRover_SPG9_TK_EP1,"%1$ LandRover SPG9","%1$ ЛэндРовер (СПГ-9)"
STR_NAME_VEH_BAF_Jackal2_GMG_W,"%1$ Jackal GMG","%1$ Шакал GMG"
STR_NAME_VEH_BRDM2_HQ_TK_GUE_EP1,"%1$ BRDM2 HQ","%1$ БРДМ-2 HQ"
STR_NAME_VEH_BTR40_MG_TK_INS_EP1,"%1$ BTR-40","%1$ БТР-40"
STR_NAME_VEH_Mi171Sh_rockets_CZ_EP1,"%1$ Mi171 rockets","%1$ Ми-171 rockets"
STR_NAME_VEH_Ka52Black,"%1$ Ka52 Black","%1$ Ka52 Black"
STR_NAME_VEH_L39_TK_EP1,"%1$ L39","%1$ L39"
STR_NAME_VEH_Su25_TK_EP1,"%1$ Su-25","%1$ Су-25"
STR_NAME_VEH_MH6J_EP1,"%1$ MH6J","%1$ MH6J верт"
STR_NAME_VEH_AH6J_EP1,"%1$ AH6J","%1$ AH6J верт"
STR_NAME_VEH_BAF_Merlin_HC3_D,"%1$ Merlin HC3","%1$ Merlin верт"
STR_NAME_VEH_AW159_Lynx_BAF,"%1$ AW159 Wildcat","%1$ AW159 Wildcat верт"
STR_NAME_VEH_CH_47F_BAF,"%1$ CH 47F","%1$ CH-47 Chinook"
STR_NAME_VEH_Pchela1T,"%1$ Pchela T","%1$ Pchela БПЛ"
STR_NAME_VEH_Ka137_MG_PMC,"%1$ Ka137 MG PMC","%1$ Ka-137 MG БПЛ"
STR_NAME_VEH_MQ9PredatorB_US_EP1,"%1$ MQ9PredatorB","%1$ MQ-9 Predator БПЛ"
STR_NAME_VEH_Old_bike_TK_CIV_EP1,"%1$ Velo Old","%1$ Старый велик"
STR_NAME_VEH_ATV_CZ_EP1,"%1$ ATV","%1$ Квадроцикл"
STR_NAME_VEH_Old_moto_TK_Civ_EP1,"%1$ Moto Old","%1$ Старый мото"
STR_NAME_VEH_UAZ_MG_INS,"%1$ UAZ (DShKm)","%1$ УАЗ (ДШКм)"
STR_NAME_VEH_UAZ_AGS30_RU,"%1$ UAZ (AGS-30)","%1$ УАЗ (АГС-30)"
STR_NAME_VEH_UAZ_SPG9_INS,"%1$ UAZ (SPG-9)","%1$ УАЗ (СПГ-9)"
STR_NAME_VEH_HMMWV_Avenger,"%1$ HMMWV Avenger","%1$ HMMWV Avenger"
STR_NAME_VEH_HMMWV_TOW,"%1$ HMMWV (TOW)","%1$ HMMWV (TOW)"
STR_NAME_VEH_HMMWV_MK19,"%1$ HMMWV (Mk19)","%1$ HMMWV (Mk19)"
STR_NAME_VEH_KORD_high,"%1$ KORD","%1$ KORD"
STR_NAME_VEH_DSHKM_Ins,"%1$ DShKM","%1$ DShKM"
STR_NAME_VEH_Igla_AA_pod_East,"%1$ Igla AA","%1$ Igla AA"
STR_NAME_VEH_M2StaticMG,"%1$ M2 Static MG","%1$ M2 Стац. пулемёт"
STR_NAME_VEH_Stinger_Pod,"%1$ Stinger Pod","%1$ Stinger Pod"
STR_NAME_VEH_TOW_TriPod,"%1$ TOW TriPod","%1$ TOW Стац. гранатомёт"
STR_NAME_VEH_Ural_ZU23_INS,"%1$ URAL (Zu-2-23)","%1$ Урал (Зу-2-23)"
STR_NAME_VEH_GAZ_Vodnik_HMG,"%1$ Vodnik (2A42)","%1$ Водник (2А42)"
STR_NAME_VEH_GAZ_Vodnik,"%1$ Vodnik-mine (2PK)","%1$ Водник(2ПК)"
STR_NAME_VEH_GAZ_Vodnik_MedEvac,"%1$ Vodnik (Medevac.)","%1$ Водник (Санитар.)"
STR_NAME_VEH_BRDM2_INS,"%1$ BRDM-2","%1$ БРДМ-2"
STR_NAME_VEH_BRDM2_ATGM_INS,"%1$ BRDM-2 (ATGM)","%1$ БРДМ-2 (ПТРК)"
STR_NAME_VEH_BTR60_TK_EP1,"%1$ BTR-60PB","%1$ БТР-60ПБ"
STR_NAME_VEH_BTR90,"%1$ BTR-90","%1$ БТР-90"
STR_NAME_VEH_ZU23_Ins,"%1$ ZU-23","%1$ ZU-23"
STR_NAME_VEH_AAV,"%1$ AAVP7A1","%1$ AAVP7A1"
STR_NAME_VEH_LAV25,"%1$ LAV-25","%1$ LAV-25"
STR_NAME_VEH_BMP2_INS,"%1$ BMP-2","%1$ БМП-2"
STR_NAME_VEH_BMP3,"%1$ BMP-3","%1$ БМП-3"
STR_NAME_VEH_T34,"%1$ T-34","%1$ Т-34"
STR_NAME_VEH_T55_TK_EP1,"%1$ T-55","%1$ Т-55"
STR_NAME_VEH_T72_RU,"%1$ T-72A","%1$ Т-72А"
STR_NAME_VEH_T90,"%1$ T-90","%1$ Т-90"
STR_NAME_VEH_BAF_FV510_W,"%1$ BAF FV510","%1$ BAF FV510"
STR_NAME_VEH_M2A3_EP1,"%1$  M2A3","%1$ M2A3 Брэдли"
STR_NAME_VEH_M6_EP1,"%1$ M6 Linebacker ","%1$ M6 Лайнбекер"
STR_NAME_VEH_M1A1,"%1$ M1A1","%1$ M1A1"
STR_NAME_VEH_M1A2_TUSK_MG,"%1$ M1A2 TUSK","%1$ M1A2 TUSK"
STR_NAME_VEH_ZSU_INS,"%1$ ZSU-23-4 'Shilka'","%1$ ЗСУ-23-4 'Шилка'"
STR_NAME_VEH_2S6M_Tunguska,"%1$ ZRPK-2S6M 'Tunguska'","%1$ ЗРПК-2С6М 'Тунгуска'"
STR_NAME_VEH_Mi17_rockets_RU,"%1$ Mi-8MTV-3","%1$ Ми-8МТВ-3"
STR_NAME_VEH_Mi24_D,"%1$ Mi-24D","%1$ Ми-24Д"
STR_NAME_VEH_Mi24_P,"%1$ Mi-24P","%1$ Ми-24П"
STR_NAME_VEH_Mi24_V,"%1$ Mi-24V","%1$ Ми-24В"
STR_NAME_VEH_Ka52,"%1$ Ka-52","%1$ Ка-52"
STR_NAME_VEH_Su39,"%1$ Su-39","%1$ Су-39"
STR_NAME_VEH_Su34,"%1$ Su-34","%1$ Су-34"
STR_NAME_VEH_C130J,"%1$ C-130J","%1$ C-130J Геркулес"
STR_NAME_VEH_MV22,"%1$ MV-22","%1$ MV-22"
STR_NAME_VEH_UH60M_EP1,"%1$ UH-60M","%1$ UH-60M"
STR_NAME_VEH_MH60S,"%1$ MH-60S","%1$ MH-60S"
STR_NAME_VEH_UH1Y,"%1$ UH1Y","%1$ UH1Y"
STR_NAME_VEH_AH64D_Sidewinders,"%1$ AH-64 Sidewinders","%1$ AH-64 Sidewinders"
STR_NAME_VEH_AH64D,"%1$ AH-64 Hellfire","%1$ AH-64 Hellfire"
STR_NAME_VEH_AH1Z,"%1$ AH-1Z","%1$ AH-1Z"
STR_NAME_VEH_F35B,"%1$ F-35B","%1$ F-35B"
STR_NAME_VEH_A10,"%1$ A-10","%1$ A-10"
STR_NAME_VEH_AV8B2,"%1$ AV-8B","%1$ AV-8B"
STR_NAME_VEH_SearchLight_RUS,"%1$ Searchlight","%1$ Прожектор"
STR_NAME_VEH_Mi17_medevac_RU,"%1$ Mi-8 (Medevac.)","%1$ Ми-8 (Санитар.)"
STR_NAME_VEH_Mi17_Ins,"%1$ Mi-8MT","%1$ Ми-8МТ"
STR_NAME_VEH_Mi17_Civilian,"%1$ Mi-8 (Repair.)","%1$ Ми-8 (Рем.)"
STR_NAME_VEH_Ka60_GL_PMC,"%1$ Ka-60","%1$ Ка-60"
STR_NAME_VEH_BMP2_Ambul_INS,"%1$ BMP-2 (Medevac.)","%1$ БМП-2 (Санитар.)"
STR_NAME_VEH_KamazRepair,"%1$ Kamaz (Repair)","%1$ Камаз (Рем.)"
STR_NAME_VEH_KamazReammo,"%1$ Kamaz (Reammo)","%1$ Камаз (Боепр.)"
STR_NAME_VEH_2b14_82mm,"%1$ 2B14-1 'Podnos'","%1$ 2Б14-1 'Поднос'"
STR_NAME_VEH_D30_RU,"%1$ D-30","%1$ Д-30"
STR_NAME_VEH_GRAD_RU,"%1$ BM-21 'Grad'","%1$ БМ-21 'Град'"
STR_NAME_VEH_BTR90_HQ,"%1$ Mobile base","%1$ Мобильная база"
STR_NAME_VEH_MK19_TriPod_US_EP1,"%1$ MK19 TriPod","%1$ MK19 TriPod"
STR_NAME_VEH_AGS_RU,"%1$ AGS","%1$ AGS Стац."
STR_NAME_VEH_BAF_L2A1_Tripod_D,"%1$ BAF L2A1 Tripod_D","%1$ BAF L2A1 Tripod_D"
STR_NAME_VEH_BAF_GMG_Tripod_D,"%1$ BAF GMG Tripod","%1$ BAF GMG Tripod"
STR_NAME_VEH_BAF_GPMG_Minitripod_D,"%1$ BAF GPMG Minitripod","%1$ BAF GPMG Minitripod"
STR_NAME_VEH_SPG9_TK_GUE_EP1,"%1$ SPG9","%1$ SPG9"
STR_NAME_VEH_MLRS,"%1$ MLRS","%1$ MLRS"
STR_NAME_VEH_M119_US_EP1,"%1$ M119","%1$ M119 Арт."
STR_NAME_VEH_M252_US_EP1,"%1$ M252","%1$ M252 Миномёт"
STR_ACT_KickVeh,"Kick crew from ","Экипаж за борт "
STR_ACT_fort_BLD,"Strengthening","Укрепить позицию"
STR_ACT_UnloadAmmo,"Unload ammo","Выгрузить боеприпасы"
STR_ACT_Designate,"Designate airstrike target","Указать цель авиаудара"
STR_ACT_Rearm,"Rearm vehicle","Загрузка боекомплекта"
STR_ACT_Easa,"Select weaponary","Выбор боекомплекта"
STR_ACT_BailOut,"Bail out","Покинуть машину"
STR_ACT_Repair,"Service vehicle: %1","Техническое обслуживание: %1"
STR_ACT_FieldRepair,"Field repair: %1","Полевой ремонт: %1"
STR_ACT_Lock,"Lock: %1","Запереть: %1"
STR_ACT_UnLock,"Unlock: %1","Открыть: %1"
STR_ACT_Crew,"Crew","Экипаж"
STR_init_parajump,"parajump","Катапультирование"
STR_ACT_Loadout,"Save equipment","Сохранить снаряжение"
STR_ACT_PickCargo,"Pick: %1","Прицепить: %1"
STR_ACT_DropCargo,"Drop: %1","Отцепить: %1"
STR_ACT_Menu,"Main menu","Главное меню"
STR_ACT_TouchOff,"Mine the radiotower","Заминировать радиовышку"
STR_ACT_Interact,"Heal soldier","Оказать первую помощь"
STR_ACT_DragStart,"Drag injured","Тащить раненого"
STR_ACT_DragStop,"Stop dragging","Прекратить тащить"
STR_ACT_MissleCamEnable,"Missle Camera On","Ракетная камера Вкл."
STR_ACT_MissleCamDisable,"Missle Camera Off","Ракетная камера Выкл."
STR_ACT_BulletCamEnable,"Bullet Camera On","Камера снаряда Вкл."
STR_ACT_BulletCamDisable,"Bullet Camera Off","Камера снаряда Выкл."
STR_ACT_METIS_DES,"Remove ATGM 'Metis-M'","Демонтировать ПТРК 'Метис-М'"
STR_ACT_METIS_BLD,"build ATGM 'Metis-M' %1","Установить ПТРК 'Метис-М'"
STR_ACT_IGLA_DES,"Remove AA-pod 'Igla'","Демонтировать ОПУ 'Джигит'"
STR_ACT_IGLA_BLD,"build AA-pod 'Igla'","Установить ОПУ 'Джигит'"
STR_ACT_MG_DES,"Remove MG nest 'PK'","Разобрать гнездо 'ПК'"
STR_ACT_MG_BLD,"build MG nest 'PK'","Построить гнездо 'ПК'"
STR_ACT_TurnL,"Turn 90 left","Повернуть 90 влево"
STR_ACT_TurnR,"Turn 90 right","Повернуть 90 вправо"
STR_ACT_BuyMedPack,"Take Medpacks","Взять медпакеты"
STR_ACT_HealYourself,"Heal Yourself","Перевязать себя"
STR_ACT_ACTPARA,"Long jump","Затяжной прыжок"
STR_HINT_TryAgain,"Try again","Попробуйте еще раз"
STR_HINT_HealPackets,"You have %1 MedPacks","У Вас %1 Медпакет(а)"
STR_HINT_UnableRemove,"You cannot remove static weapon, your inventory is full!","Вы не можете демонтировать оружие, ваш инвентарь занят!"
STR_HINT_EasaReady,"Armament will be сhanged on rearm","Вооружение будет изменено при загрузке боекомплекта"
STR_HINT_AmmoUnloaded,"Ammo unloaded","Боеприпасы выгружены"
STR_HINT_FieldStarted,"Field repair started..","Полевой ремонт начат.."
STR_HINT_RepairStarted,"Repair started..","Ремонт начат.."
STR_HINT_FieldDenided,"There are no repair kits in current vehicle!","В данной машине отсутствуют наборы полевого ремонта!"
STR_HINT_FieldFailed,"Field repair failed!","Полевой ремонт прерван!"
STR_HINT_RepairFailed,"Service canceled!","Обслуживание отменено!"
STR_HINT_RepairComplete,"Repair complete: %1!\n","Ремонт завершен: %1!\n"
STR_HINT_FieldComplete,"Field repair complete: %1!\n\nField repair kits: %2","Полевой ремонт завершен: %1!\n\nНаборы для полевого ремонта: %2"
STR_HINT_ServiceCompleteLand,"Service complete!\n\nField repair kits: %1","Обслуживание завершено!\n\nНаборы для полевого ремонта: %1"
STR_HINT_ServiceCompleteTank,"Service complete!\n\nField repair kits: %1","Обслуживание завершено!\n\nНаборы для полевого ремонта: %1"
STR_HINT_ServiceCompleteAir,"Service complete!\n\nField repair kits: %1","Обслуживание завершено!\n\nНаборы для полевого ремонта: %1"
STR_HINT_ServiceOnFire,"The vehicle is on fire,\nrepairs will not help..","Машина объята пламенем,\nремонт уже не поможет.."
STR_HINT_RearmComplete,"Vehicle rearmed!\n\nIf there is a bug, and ammo is not loaded, reload the vehicle from the main gunner`s place..","Боекомплект загружен!\n\nЕсли возник баг и перезарядки не произошло\n\nСядьте на место главного стрелка\n\nВыйдите и повторите операцию."
STR_HINT_RearmCompleteGunner,"Vehicle rearmed!","Боекомплект загружен!"
STR_HINT_RearmCanceled,"Rearm canceled! Vehicle`s ammo is not loaded!","Загрузка боекомплекта отменена! Боекомплект машины не загружен!"
STR_HINT_ServiceProcess,"Service..","Обслуживание.."
STR_HINT_RearmProcess,"Rearming..","Загрузка боекомплекта.."
STR_HINT_RearmPercent,"Rearmed %1/100","Перезарядка: %1/100"
STR_HINT_LoadoutSaved,"Loadout saved!","Снаряжение сохранено!"
STR_HINT_LoadoutNotSaved,"You have items unavailable for you! Loadout not saved!","В вашем инвентаре присутствуют недоступные вам предметы! Снаряжение не сохранено!"
STR_HINT_CaptLoadoutSaved,"Captured weapons saved until you exit the game","Трофейное оружие сохранено до выхода из игры"
STR_HINT_NoDrop,"You have to be above 70m or below 15m to drop cargo!","Для сброса техники опускайтесь ниже 15м, или поднимайтесь выше 70м!"
STR_HINT_Picked,"%1 picked!","%1 подцеплен!"
STR_HINT_Dropped,"%1 dropped!","%1 сброшен!"
STR_HINT_Weapon,"%1 is now available at armory!","%1 теперь доступен на складе!"
STR_HINT_WeaponUnit,"%1 is now available at armory!\n\nNew units are now available to recruit!","%1 теперь доступен на складе!\n\nНовые юниты теперь доступны для рекрутинга!"
STR_HINT_Vehicle,"You have bought: %1","Вы купили: %1"
STR_HINT_Unit,"You have recruited: %1\nSquad: %2/%3","Вы наняли: %1\nОтряд: %2/%3"
STR_HINT_ScoreLow,"Your score is not enough!","У вас не хватает очков!"
STR_HINT_ScoreNull,"You have no points","Вам нечего передать!"
STR_HINT_FullSquad,"Your squad has maximal size!","Достигнута максимальная численность отряда!"
STR_HINT_UnableToJoin,"Unit you want to join is not a squad leader!","Данный игрок не является командиром своего отряда!"
STR_HINT_AliveSquad,"You have to dismiss your squad before you may join another one!","Вы должны распустить свой отряд, прежде, чем присоединиться к другому!"
STR_HINT_JoinedSquad,"You have joined %1`s squad!","Вы вступили в отряд к %1!"
